weather_station,for_date,for_hour,rain
wardha/deoli/bhidi,2023-06-09,10,0.0
wardha/deoli/bhidi,2023-06-09,11,0.0
wardha/deoli/bhidi,2023-06-09,12,0.0
wardha/deoli/bhidi,2023-06-09,13,0.0
wardha/deoli/bhidi,2023-06-09,14,0.0
wardha/deoli/bhidi,2023-06-09,15,0.0
wardha/deoli/bhidi,2023-06-09,16,0.0
wardha/deoli/bhidi,2023-06-09,17,0.0
wardha/deoli/bhidi,2023-06-09,18,0.0
wardha/deoli/bhidi,2023-06-09,19,0.0
wardha/deoli/bhidi,2023-06-09,20,0.0
wardha/deoli/bhidi,2023-06-09,21,0.0
wardha/deoli/bhidi,2023-06-09,22,0.0
wardha/deoli/bhidi,2023-06-09,23,0.0
wardha/deoli/bhidi,2023-06-10,0,0.0
wardha/deoli/bhidi,2023-06-10,1,0.0
wardha/deoli/bhidi,2023-06-10,2,0.0
wardha/deoli/bhidi,2023-06-10,3,0.0
wardha/deoli/bhidi,2023-06-10,4,0.0
wardha/deoli/bhidi,2023-06-10,5,0.0
wardha/deoli/bhidi,2023-06-10,6,0.0
wardha/deoli/bhidi,2023-06-10,7,0.0
wardha/deoli/bhidi,2023-06-10,8,0.0
wardha/deoli/bhidi,2023-06-10,9,0.0
wardha/deoli/bhidi,2023-06-10,10,0.0
wardha/deoli/bhidi,2023-06-10,11,0.0
wardha/deoli/bhidi,2023-06-10,12,0.0
wardha/deoli/bhidi,2023-06-10,13,0.0
wardha/deoli/bhidi,2023-06-10,14,0.0
wardha/deoli/bhidi,2023-06-10,15,1.25
wardha/deoli/bhidi,2023-06-10,16,0.0
wardha/deoli/bhidi,2023-06-10,17,0.0
wardha/deoli/bhidi,2023-06-10,18,0.0
wardha/deoli/bhidi,2023-06-10,19,0.0
wardha/deoli/bhidi,2023-06-10,20,0.0
wardha/deoli/bhidi,2023-06-10,21,0.0
wardha/deoli/bhidi,2023-06-10,22,0.0
wardha/deoli/bhidi,2023-06-10,23,0.0
wardha/deoli/bhidi,2023-06-11,0,0.0
